Province,District,Name,Party,,,,,Year,First,Last
Pampanga ,4th,Anna York P. Bondoc ,Nacionalista ,1,2004,Majority ,,13,Anna,Bondoc
Pangasinan ,1st,Arthur F. Celeste ,KAMPI ,2,2001,Majority ,,13,Arthur,Celeste
Pangasinan ,2nd,"Amado T. Espino, Jr. ",KAMPI ,2,2001,Majority ,,13,Amado,Espino
Pangasinan ,3rd,Generoso D.C. Tulagan ,KAMPI ,3,1998,Majority ,,13,Generoso,Tulagan
Pangasinan ,4th,"Jose de Venecia, Jr. ",Lakas-CMD ,2,2001,Majority ,,13,Jose,Venecia
Pangasinan ,5th,Mark O. Cojuangco ,NPC ,2,2001,Majority ,,13,Mark,Cojuangco
Pangasinan ,6th,Conrado M. Estrella III ,NPC ,2,2001,Majority ,,13,Conrado,Estrella
Parañaque City ,1st,Eduardo C. Zialcita ,Lakas-CMD ,2,2001,Majority ,,13,Eduardo,Zialcita
Parañaque City ,2nd,Roilo Golez ,KAMPI ,1,2004,Majority ,,13,Roilo,Golez
Pasay City ,Lone ,Consuelo A. Dy ,KAMPI ,2,2001,Majority ,,13,Consuelo,Dy
Pasig City ,Lone ,Robert Dodot Jaworski Jr.,Lakas-CMD ,1,2004,Majority ,,13,Robert,Jaworski
Quezon ,1st,Rafael P. Nantes ,Liberal ,3,1998,Majority ,,13,Rafael,Nantes
Quezon ,2nd,Proceso J. Alcala ,Liberal ,1,2004,Majority ,,13,Proceso,Alcala
Quezon ,3rd,Danilo E. Suarez ,Liberal ,1,2004,Majority ,,13,Danilo,Suarez
Quezon ,4th,Lorenzo R. Tañada III ,Liberal ,1,2004,Majority ,,13,Lorenzo,Tañada
Quezon City ,1st,Vincent Bingbong P. Crisologo ,Nacionalista ,1,2004,Minority ,,13,Vincent,Crisologo
Quezon City ,2nd,Mary Ann L. Susano ,Lakas-CMD ,1,2004,Majority ,,13,Mary,Susano
Quezon City ,3rd,"Matias V. Defensor, Jr. ",Liberal ,1,2004,Majority ,,13,Matias,Defensor
Quezon City ,4th,Nanette Castelo-Daza ,Lakas-CMD ,2,2001,Majority ,,13,Nanette,Castelo-Daza
Quirino ,Lone ,Junie E. Cua ,Liberal ,2,2001,Majority ,,13,Junie,Cua
Rizal ,1st,Michael John Jack R. Duavit ,NPC ,2,2001,Majority ,,13,Michael,Duavit
Rizal ,2nd,"Isidro S. Rodriguez, Jr. ",NPC ,3,1998,Majority ,,13,Isidro,Rodriguez
Romblon ,Lone ,Eduardo C. Firmalo ,KAMPI ,1,2004,Majority ,,13,Eduardo,Firmalo
Samar (Western) ,1st,Reynaldo S. Uy ,Liberal ,2,2001,Majority ,,13,Reynaldo,Uy
Samar (Western) ,2nd,Catalino V. Figueroa ,Nacionalista ,1,2004,Majority ,,13,Catalino,Figueroa
San Jose del Monte City ,Lone ,Eduardo V. Roquero ,Lakas-CMD ,1,2004,Majority ,,13,Eduardo,Roquero
San Juan ,Lone ,Ronaldo B. Zamora ,PMP ,2,2001,Minority ,,13,Ronaldo,Zamora
Sarangani ,Lone ,Erwin L. Chiongbian ,Lakas-CMD/SARRO ,2,2001,Majority ,,13,Erwin,Chiongbian
Siquijor ,Lone ,"Orlando A. Fua, Jr. ",Lakas-CMD ,3,1998,Majority ,,13,Orlando,Fua
Sorsogon ,1st,Francis G. Escudero ,NPC ,3,1998,Minority ,,13,Francis,Escudero
Sorsogon ,2nd,Jose G. Solis ,KAMPI ,2,2001,Majority ,,13,Jose,Solis
South Cotabato ,1st,Darlene R. Antonino-Custodio ,NPC ,2,2001,Minority ,,13,Darlene,Antonino-Custodio
South Cotabato ,2nd,"Arthur Y. Pingoy, Jr. ",NPC ,2,2001,Majority ,,13,Arthur,Pingoy
Southern Leyte ,Lone ,Roger G. Mercado ,Lakas-CMD ,1,2004,Majority ,,13,Roger,Mercado
Sultan Kudarat ,Lone ,Suharto Teng T. Mangudadatu ,KAMPI ,1,2004,Majority ,,13,Suharto,Mangudadatu
Sulu ,1st,Hussin U. Amin ,Lakas-CMD ,3,1998,Majority ,,13,Hussin,Amin
Sulu ,2nd,Munir M. Arbison ,Lakas-CMD ,2,2001,Majority ,,13,Munir,Arbison
Surigao del Norte ,1st,Glenda B. Ecleo ,Lakas-CMD ,2,2001,Majority ,,13,Glenda,Ecleo
Surigao del Norte ,2nd,Ace S. Barbers ,Lakas-CMD ,3,1998,Majority ,,13,Ace,Barbers
Surigao del Sur ,1st,"Prospero A. Pichay, Jr. ",Lakas-CMD ,3,1998,Majority ,,13,Prospero,Pichay
Surigao del Sur ,2nd,Peter Paul Jed C. Falcon ,KAMPI ,1,2004,Majority ,,13,Peter,Falcon
Taguig City–Pateros ,Lone ,Alan Peter S. Cayetano ,Nacionalista ,3,1998,Minority ,,13,Alan,Cayetano
Tarlac ,1st,"Gilberto C. Teodoro, Jr. ",NPC ,3,1998,Majority ,,13,Gilberto,Teodoro
Tarlac ,2nd,Benigno S. Aquino III ,Liberal ,3,1998,Majority ,,13,Benigno,Aquino
Tarlac ,3rd,"Jesli A. Lapus, Jr.[n 9]",NPC ,3,1998,Majority ,,13,Jesli,""
Tawi-Tawi ,Lone ,Nur G. Jaafar[n 10],Lakas-CMD ,1,2004,Majority ,,13,Nur,""
Valenzuela City ,1st,Bobbit L. Carlos ,Lakas-CMD ,1,2004,Majority ,,13,Bobbit,Carlos
Valenzuela City ,2nd,Antonio M. Serapio[n 11],Nacionalista ,1,2004,Minority ,,13,Antonio,""
Zambales ,1st,Ma. Milagros Mitos H. Magsaysay ,Lakas-CMD ,1,2004,Majority ,,13,Milagros,Magsaysay
Zambales ,2nd,Antonio M. Diaz ,Liberal ,1,2004,Majority ,,13,Antonio,Diaz
Zamboanga City ,Lone ,Erico Basilio A. Fabian ,LDP ,1,2004,Minority ,,13,Erico,Fabian
Zamboanga del Norte ,1st,Cecilia G. Jalosjos-Carreon ,PDSP ,2,2001,Majority ,,13,Cecilia,Jalosjos-Carreon
Zamboanga del Norte ,2nd,Roseller L. Barinaga ,NPC ,3,1998,Majority ,,13,Roseller,Barinaga
Zamboanga del Norte ,3rd,Cesar G. Jalosjos ,PDSP ,1,2004,Majority ,,13,Cesar,Jalosjos
Zamboanga del Sur ,1st,"Isidoro E. Real, Jr. ",Lakas-CMD ,2,2001,Majority ,,13,Isidoro,Real
Zamboanga del Sur ,2nd,Antonio H. Cerilles ,NPC ,1,2004,Majority ,,13,Antonio,Cerilles
Zamboanga Sibugay ,Lone ,Belma A. Cabilao ,Lakas-CMD ,2,2001,Majority ,,13,Belma,Cabilao
