Province,District,Name,Party,,Year,First,Last
Negros Occidental ,3rd ,Jose Carlos V. Lacson , ,2,9,Jose,Lacson
Negros Occidental ,4th ,Edward M. Matti , ,2,9,Edward,Matti
Negros Occidental ,5th ,Mariano M. Yulo , ,2,9,Mariano,Yulo
Negros Occidental ,6th ,Hortensia L. Starke , ,2,9,Hortensia,Starke
Negros Oriental ,1st ,Jerome V. Paras , ,2,9,Jerome,Paras
Negros Oriental ,2nd ,Miguel L. Romero , ,2,9,Miguel,Romero
Negros Oriental ,3rd ,Margarito B. Teves , ,2,9,Margarito,Teves
Northern Samar ,1st ,Raul A. Daza ,Liberal ,2,9,Raul,Daza
Northern Samar ,2nd ,Wilmar P. Lucero ,Liberal ,1,9,Wilmar,Lucero
Nueva Ecija ,1st ,Renato V. Diaz , ,1,9,Renato,Diaz
Nueva Ecija ,2nd ,Eleuterio R. Violago , ,1,9,Eleuterio,Violago
Nueva Ecija ,3rd ,Pacifico M. Fajardo , ,1,9,Pacifico,Fajardo
Nueva Ecija ,4th ,Victorio A. Lorenzo , ,1,9,Victorio,Lorenzo
Nueva Vizcaya ,Lone ,Leonardo B. Perez ,NPC ,1,9,Leonardo,Perez
Occidental Mindoro ,Lone ,Jose T. Villarosa , ,1,9,Jose,Villarosa
Oriental Mindoro ,1st ,J. Renato V. Leviste , ,1,9,J.,Leviste
Oriental Mindoro ,2nd ,Jesus M. Punzalan , ,2,9,Jesus,Punzalan
Palawan ,1st ,David A. Ponce De Leon , ,2,9,David,Leon
Palawan ,2nd ,"Alfredo Amor E. Abueg, Jr. ", ,1,9,Alfredo,Abueg
Pampanga ,1st ,Carmelo F. Lazatin , ,2,9,Carmelo,Lazatin
Pampanga ,2nd ,Emigdio L. Lingad , ,2,9,Emigdio,Lingad
Pampanga ,3rd ,Andrea D. Domingo , ,1,9,Andrea,Domingo
Pampanga ,4th ,Emilio Bondoc , ,2,9,Emilio,Bondoc
Pangasinan ,1st ,Oscar M. Orbos ,independent ,2,9,Oscar,Orbos
Pangasinan ,2nd ,Chris F. Mendoza ,Lakas-NUCD ,2,9,Chris,Mendoza
Pangasinan ,3rd ,Eric Galo P. Acuña ,NPC ,1,9,Eric,Acuña
Pangasinan ,4th ,"Jose C. De Venecia, Jr. ",Lakas-NUCD ,2,9,Jose,Venecia
Pangasinan ,5th ,"Amadeo R. Perez, Jr. ",LDP ,1,9,Amadeo,Perez
Pangasinan ,6th ,Conrado M. Estrella III ,NPC ,2,9,Conrado,Estrella
Parañaque ,Lone ,Roilo J. Golez , ,1,9,Roilo,Golez
Pasay City ,Lone ,Jovito O. Claudio , ,1,9,Jovito,Claudio
Pasig ,Lone ,Rufino S. Javier , ,2,9,Rufino,Javier
Pateros-Taguig ,Lone ,Dante O. Tinga , ,2,9,Dante,Tinga
Quezon ,1st ,Wilfrido L. Enverga , ,2,9,Wilfrido,Enverga
Quezon ,2nd ,"Marcial C. Punzalan, Jr. ", ,1,9,Marcial,Punzalan
Quezon ,3rd ,Danilo E. Suarez , ,1,9,Danilo,Suarez
Quezon ,4th ,Manolet O. Lavides , ,1,9,Manolet,Lavides
Quezon City ,1st ,Renato A. Yap , ,1,9,Renato,Yap
Quezon City ,2nd ,Dante V. Liban , ,1,9,Dante,Liban
Quezon City ,3rd ,Dennis Y. Roldan , ,1,9,Dennis,Roldan
Quezon City ,4th ,"Feliciano R. Belmonte, Jr. ",Lakas-NUCD ,1,9,Feliciano,Belmonte
Quirino ,Lone ,Junie E. Cua , ,2,9,Junie,Cua
Rizal ,1st ,Manuel Sanchez4 ,Lakas NUCD ,1,9,Manuel,Sanchez
Rizal ,"",Gilberto Duavit5 ,NPC ,1,9,Gilberto,Duavit
Rizal ,2nd ,"Emigdio S. Tanjuatco, Jr. ", ,2,9,Emigdio,Tanjuatco
Romblon ,Lone ,Eleandro Jesus F. Madrona , ,1,9,Eleandro,Madrona
Samar (Western) ,1st ,Rodolfo T. Tuazon , ,1,9,Rodolfo,Tuazon
Samar (Western) ,2nd ,Catalino V. Figueroa , ,1,9,Catalino,Figueroa
San Juan-Mandaluyong ,Lone ,Ronaldo B. Zamora , ,2,9,Ronaldo,Zamora
Siquijor ,Lone ,Orlando B. Fua , ,1,9,Orlando,Fua
Sorsogon ,1st ,Salvador H. Escudero III , ,2,9,Salvador,Escudero
Sorsogon ,2nd ,Bonifacio H. Gillego , ,2,9,Bonifacio,Gillego
South Cotabato ,1st ,Luwalhati R. Antonino , ,1,9,Luwalhati,Antonino
South Cotabato ,2nd ,Daisy P. Avance-Fuentes , ,1,9,Daisy,Avance-Fuentes
South Cotabato ,3rd ,James L. Chiongbian , ,2,9,James,Chiongbian
Southern Leyte ,Lone ,Roger G. Mercado , ,2,9,Roger,Mercado
Sultan Kudarat ,Lone ,Estanislao V. Valdez , ,2,9,Estanislao,Valdez
Sulu ,1st ,Bensaudi O. Tulawie , ,1,9,Bensaudi,Tulawie
Sulu ,2nd ,Asani S. Tammang , ,1,9,Asani,Tammang
Surigao del Norte ,1st ,Glenda B. Ecleo , ,2,9,Glenda,Ecleo
Surigao del Norte ,2nd ,Robert Z. Barbers ,Lakas NUCD ,1,9,Robert,Barbers
Surigao del Sur ,1st ,Mario S. Ty , ,2,9,Mario,Ty
Surigao del Sur ,2nd ,Ernesto T. Estrella , ,2,9,Ernesto,Estrella
Tarlac ,1st ,"Jose S. Cojuangco, Jr. ", ,2,9,Jose,Cojuangco
Tarlac ,2nd ,Jose V. Yap , ,2,9,Jose,Yap
Tarlac ,3rd ,Herminio S. Aquino , ,2,9,Herminio,Aquino
Tawi-Tawi ,Lone ,Nur G. Jaafar , ,1,9,Nur,Jaafar
Valenzuela ,Lone ,Antonio M. Serapio , ,2,9,Antonio,Serapio
Zambales ,1st ,Katherine H. Gordon , ,2,9,Katherine,Gordon
Zambales ,2nd ,Antonio M. Diaz , ,1,9,Antonio,Diaz
Zamboanga City ,Lone ,Maria Clara Lobregat ,LDP ,2,9,Maria,Lobregat
Zamboanga del Norte ,1st ,"Artemio A. Adasa, Jr. ", ,2,9,Artemio,Adasa
Zamboanga del Norte ,2nd ,Ernesto S. Amatong , ,2,9,Ernesto,Amatong
Zamboanga del Norte ,3rd ,Angel M. Carloto , ,2,9,Angel,Carloto
Zamboanga del Sur ,1st ,Alejandro S. Urro , ,1,9,Alejandro,Urro
Zamboanga del Sur ,2nd ,Antonio H. Cerilles , ,2,9,Antonio,Cerilles
Zamboanga del Sur ,3rd ,Belma A. Cabilao , ,1,9,Belma,Cabilao
