Province,District,Name,Party,,,,Year,First,Last
Iloilo ,5th ,Raul Tupas ,Nacionalista ,1,Majority ,,17,Raul,Tupas
Iloilo City ,Lone ,Jerry Treñas[13] ,NUP ,3,Majority ,,17,Jerry,Treñas
Isabela ,1st ,Rodolfo Albano III[11] ,PDP-Laban ,2,Majority ,,17,Rodolfo,III
Isabela ,2nd ,Ana Cristina Go ,Nacionalista ,3,Majority ,,17,Ana,Go
Isabela ,3rd ,Napoleon Dy ,NPC ,3,Majority ,,17,Napoleon,Dy
Isabela ,4th ,Maria Lourdes Aggabao ,NPC ,1,Majority ,,17,Maria,Aggabao
Kalinga ,Lone ,Allen Jesse Mangaoang ,Nacionalista ,1,Majority ,,17,Allen,Mangaoang
La Union ,1st ,Pablo Ortega ,NPC ,1,Majority ,,17,Pablo,Ortega
La Union ,2nd ,Sandra Eriguel[15] ,PDP-Laban ,1,Majority ,,17,Sandra,Eriguel
Laguna ,1st ,Arlene Arcillas-Nazareno ,PDP-Laban ,1,Minority ,,17,Arlene,Arcillas-Nazareno
Laguna ,2nd ,Joaquin Chipeco Jr. ,Nacionalista ,2,Majority ,,17,Joaquin,Chipeco
Laguna ,3rd ,Sol Aragones ,Nacionalista ,2,Majority ,,17,Sol,Aragones
Laguna ,4th ,Benjamin Agarao Jr. ,PDP-Laban ,2,Majority ,,17,Benjamin,Agarao
Lanao del Norte ,1st ,Mohamad Khalid Dimaporo[12] ,PDP-Laban ,1,Majority ,,17,Mohamad,Dimaporo
Lanao del Norte ,2nd ,Abdullah Dimaporo ,NPC ,2,Majority ,,17,Abdullah,Dimaporo
Lanao del Sur ,1st ,Ansaruddin Adiong ,Nacionalista ,2,Majority ,,17,Ansaruddin,Adiong
Lanao del Sur ,2nd ,Mauyag Papandayan Jr. ,PDP-Laban ,1,Majority ,,17,Mauyag,Papandayan
Lapu-Lapu City ,Lone ,Aileen Radaza ,PDP-Laban[14] ,2,Majority ,,17,Aileen,Radaza
Las Piñas ,Lone ,Mark Villar2 ,Nacionalista ,3,Majority ,,17,Mark,Villar
Leyte ,1st ,Yedda Romualdez ,Lakas ,1,Majority ,,17,Yedda,Romualdez
Leyte ,2nd ,Henry Ong ,PDP-Laban ,1,Majority ,,17,Henry,Ong
Leyte ,3rd ,Vicente Veloso ,NUP ,1,Majority ,,17,Vicente,Veloso
Leyte ,4th ,Lucy Torres-Gomez[13] ,PDP-Laban ,3,Majority ,,17,Lucy,Torres-Gomez
Leyte ,5th ,Jose Carlos Cari ,PFP ,3,Majority ,,17,Jose,Cari
Maguindanao ,1st ,Bai Sandra Sema ,PDP-Laban ,3,Majority ,,17,Bai,Sema
Maguindanao ,2nd ,Zajid Mangudadatu[13] ,PDP-Laban ,2,Majority ,,17,Zajid,Mangudadatu
Makati ,1st ,Monsour Del Rosario ,PDP-Laban ,1,Majority ,,17,Monsour,Rosario
Makati ,2nd ,Luis Campos Jr. ,NPC ,1,Minority ,,17,Luis,Campos
Malabon ,Lone ,Federico Sandoval II[12] ,PDP-Laban ,1,Majority ,,17,Federico,II
Mandaluyong ,Lone ,Alexandria Gonzales[13] ,PDP-Laban ,1,Majority ,,17,Alexandria,Gonzales
Manila ,1st ,Manuel Luis Lopez ,NPC ,1,Majority ,,17,Manuel,Lopez
Manila ,2nd ,Carlo Lopez ,PDP-Laban ,3,Majority ,,17,Carlo,Lopez
Manila ,3rd ,Yul Servo ,PDP-Laban ,1,Majority ,,17,Yul,Servo
Manila ,4th ,Edward Maceda ,PMP ,1,Majority ,,17,Edward,Maceda
Manila ,5th ,Cristal Bagatsing ,KABAKA ,1,Majority ,,17,Cristal,Bagatsing
Manila ,6th ,Rosenda Ann Ocampo ,PDP-Laban/KKK ,3,Majority ,,17,Rosenda,Ocampo
