"District Representatives ","","","","",""
"Province/City ","District ","Representative ","","Party ","Term "
"San Jose del Monte City ","Lone "," ","Arturo C. Robes ","Lakas-Kampi-CMD ","1 "
"San Juan City ","Lone "," ","Ronaldo B. Zamora ","Nacionalista ","3 "
"Sarangani ","Lone "," ","Erwin L. Chongbian ","Lakas-Kampi-CMD/SARRO ","3 "
"Siquijor ","Lone "," ","Orlando B. Fua ","Lakas-Kampi-CMD ","1 "
"Sorsogon ","1st "," ","Salvador H. Escudero III ","NPC ","1 "
"","2nd "," ","Jose G. Solis ","Lakas-Kampi-CMD ","3 "
"South Cotabato ","1st "," ","Darlene R. Antonino-Custodio ","NPC/AIM ","3 "
"","2nd "," ","Arthur Y. Pingoy, Jr. ","Lakas-Kampi-CMD ","3 "
"Southern Leyte ","Lone "," ","Roger G. Mercado ","Lakas-Kampi-CMD ","2 "
"Sultan Kudarat ","1st "," ","Datu Pax S. Mangudadatu ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Arnold F. Go ","Lakas-Kampi-CMD ","1 "
"Sulu ","1st "," ","Yusoph H. Jikri ","NPC ","1 "
"","2nd "," ","Munir M. Arbison ","NPC ","3 "
"Surigao del Norte ","1st "," ","Francisco T. Matugas ","Lakas-Kampi-CMD/Padajon ","1 "
"","2nd "," ","Guillermo A. Romarate, Jr. ","Lakas-Kampi-CMD/Padajon ","1 "
"Surigao del Sur ","1st "," ","Philip A. Pichay ","Lakas-Kampi-CMD ","1 "
"","2nd "," ","Florencio C. Garay ","Nacionalista ","1 "
"Taguig City ","Lone "," ","Angelito P. Reyes ","Lingkod Taguig ","1 "
"Taguig City–Pateros ","Lone "," ","Ma. Laarni L. Cayetano ","Nacionalista ","1 "
"Tarlac ","1st "," ","Monica Louie Prieto-Teodoro ","Lakas-Kampi-CMD ","1 "
"","2nd ","  ","Vacant[n 8][22] "," "," "
"","3rd "," ","Jeci A. Lapus ","Lakas-Kampi-CMD ","1 "
"Tawi-Tawi ","Lone "," ","Nur G. Jaafar ","Lakas-Kampi-CMD ","2 "
"Valenzuela City ","1st "," ","Rexlon T. Gatchalian ","NPC ","1 "
"","2nd "," ","Magtanggol T. Gunigundo I ","Lakas-Kampi-CMD ","1 "
"Zambales ","1st "," ","Ma. Milagros H. Magsaysay ","Lakas-Kampi-CMD ","2 "
"","2nd "," ","Antonio M. Diaz ","Lakas-Kampi-CMD ","2 "
"Zamboanga City ","1st "," ","Maria Isabelle G. Climaco ","Liberal ","1 "
"","2nd "," ","Erico Basilio A. Fabian ","Nacionalista ","2 "
"Zamboanga del Norte ","1st "," ","Cecilia G. Jalosjos-Carreon ","Lakas-Kampi-CMD ","3 "
"","2nd "," ","Rosendo S. Labadlabad ","Liberal ","1 "
"","3rd "," ","Cesar G. Jalosjos ","Lakas-Kampi-CMD ","2 "
"Zamboanga del Sur ","1st "," ","Victor J. Yu ","NPC ","1 "
"","2nd "," ","Antonio H. Cerilles ","Lakas-Kampi-CMD ","2 "
"Zamboanga Sibugay ","1st "," ","Belma A. Cabilao ","Lakas-Kampi-CMD ","3 "
"","2nd "," ","Dulce Ann K. Hofer ","Lakas-Kampi-CMD ","1 "
