Province/City ,District ,Representative ,,Party ,Term ,First Elected ,Bloc ,
Romblon ,Lone ,  ,Eduardo C. Firmalo ,KAMPI ,1,2004,Majority ,
Samar (Western) ,1st,  ,Reynaldo S. Uy ,Liberal ,2,2001,Majority ,
,2nd,  ,Catalino V. Figueroa ,Nacionalista ,1,2004,Majority ,
San Jose del Monte City ,Lone ,  ,Eduardo V. Roquero ,Lakas-CMD ,1,2004,Majority ,
San Juan ,Lone ,  ,Ronaldo B. Zamora ,PMP ,2,2001,Minority ,
Sarangani ,Lone ,  ,Erwin L. Chiongbian ,Lakas-CMD/SARRO ,2,2001,Majority ,
Siquijor ,Lone ,  ,"Orlando A. Fua, Jr. ",Lakas-CMD ,3,1998,Majority ,
Sorsogon ,1st,  ,Francis G. Escudero ,NPC ,3,1998,Minority ,
,2nd,  ,Jose G. Solis ,KAMPI ,2,2001,Majority ,
South Cotabato ,1st,  ,Darlene R. Antonino-Custodio ,NPC ,2,2001,Minority ,
,2nd,  ,"Arthur Y. Pingoy, Jr. ",NPC ,2,2001,Majority ,
Southern Leyte ,Lone ,  ,Roger G. Mercado ,Lakas-CMD ,1,2004,Majority ,
Sultan Kudarat ,Lone ,  ,Suharto Teng T. Mangudadatu ,KAMPI ,1,2004,Majority ,
Sulu ,1st,  ,Hussin U. Amin ,Lakas-CMD ,3,1998,Majority ,
,2nd,  ,Munir M. Arbison ,Lakas-CMD ,2,2001,Majority ,
Surigao del Norte ,1st,  ,Glenda B. Ecleo ,Lakas-CMD ,2,2001,Majority ,
,2nd,  ,Ace S. Barbers ,Lakas-CMD ,3,1998,Majority ,
Surigao del Sur ,1st,  ,"Prospero A. Pichay, Jr. ",Lakas-CMD ,3,1998,Majority ,
,2nd,  ,Peter Paul Jed C. Falcon ,KAMPI ,1,2004,Majority ,
Taguig City–Pateros ,Lone ,  ,Alan Peter S. Cayetano ,Nacionalista ,3,1998,Minority ,
Tarlac ,1st,  ,"Gilberto C. Teodoro, Jr. ",NPC ,3,1998,Majority ,
,2nd,  ,Benigno S. Aquino III ,Liberal ,3,1998,Majority ,
,3rd,  ,"Jesli A. Lapus, Jr.[n 9]",NPC ,3,1998,Majority ,
Tawi-Tawi ,Lone ,  ,Nur G. Jaafar[n 10],Lakas-CMD ,1,2004,Majority ,
Valenzuela City ,1st,  ,Bobbit L. Carlos ,Lakas-CMD ,1,2004,Majority ,
,2nd,  ,Antonio M. Serapio[n 11],Nacionalista ,1,2004,Minority ,
Zambales ,1st,  ,Ma. Milagros Mitos H. Magsaysay ,Lakas-CMD ,1,2004,Majority ,
,2nd,  ,Antonio M. Diaz ,Liberal ,1,2004,Majority ,
Zamboanga City ,Lone ,  ,Erico Basilio A. Fabian ,LDP ,1,2004,Minority ,
Zamboanga del Norte ,1st,  ,Cecilia G. Jalosjos-Carreon ,PDSP ,2,2001,Majority ,
,2nd,  ,Roseller L. Barinaga ,NPC ,3,1998,Majority ,
,3rd,  ,Cesar G. Jalosjos ,PDSP ,1,2004,Majority ,
Zamboanga del Sur ,1st,  ,"Isidoro E. Real, Jr. ",Lakas-CMD ,2,2001,Majority ,
,2nd,  ,Antonio H. Cerilles ,NPC ,1,2004,Majority ,
Zamboanga Sibugay ,Lone ,  ,Belma A. Cabilao ,Lakas-CMD ,2,2001,Majority ,
