District Representatives ,,,,,,
Province/City ,District ,Representative ,,Party ,Term ,First Elected 
Rizal ,1st,  ,Michael John Jack R. Duavit ,NPC ,1,2001
,2nd,  ,Isidro S. Rodriguez Jr. ,NPC ,2,1998
Romblon ,Lone ,  ,Perpetuo B. Ylagan ,Lakas-CMD ,1,2001
Samar (Western) ,1st,  ,Reynaldo S. Uy ,Liberal ,1,2001
,2nd,  ,Antonio Eduardo B. Nachura ,Liberal ,2,1998
San Juan ,Lone ,  ,Ronaldo B. Zamora ,PMP ,1,2001
Sarangani ,Lone ,  ,Erwin L. Chiongbian ,Lakas-CMD/SARRO ,1,2001
Siquijor ,Lone ,  ,Orlando A. Fua Jr. ,NPC ,2,1998
Sorsogon ,1st,  ,Francis G. Escudero ,NPC ,2,1998
,2nd,  ,Jose G. Solis ,Lakas-CMD ,1,2001
South Cotabato ,1st,  ,Darlene Antonino-Custodio ,NPC ,1,2001
,2nd,  ,Arthur Y. Pingoy Jr. ,NPC ,1,2001
Southern Leyte ,Lone ,  ,Aniceto G. Saludo Jr. ,Lakas-CMD ,2,1998
Sultan Kudarat ,Lone ,  ,Angelo O. Montilla ,Lakas-CMD ,3,1995
Sulu ,1st,  ,Hussin U. Amin ,Lakas-CMD ,2,1998
,2nd,  ,Munir M. Arbison ,Lakas-CMD ,1,2001
Surigao del Norte ,1st,  ,Glenda B. Ecleo ,Lakas-CMD ,1,2001
,2nd,  ,Robert Ace S. Barbers ,Lakas-CMD ,2,1998
Surigao del Sur ,1st,  ,Prospero A. Pichay Jr. ,Lakas-CMD ,2,1998
,2nd,  ,Jesnar R. Falcon ,Lakas-CMD ,3,1995
Taguig City-Pateros ,Lone ,  ,Alan Peter S. Cayetano ,Lakas-CMD ,2,1998
Tarlac ,1st,  ,Gilberto C. Teodoro Jr. ,NPC ,2,1998
,2nd,  ,Benigno S. Aquino III ,Liberal ,2,1998
,3rd,  ,Jesli A. Lapus Jr. ,NPC ,2,1998
Tawi-Tawi ,Lone ,  ,Soraya C. Jaafar ,Lakas-CMD ,1,2001
Valenzuela City ,1st,  ,Sherwin T. Gatchalian ,NPC ,1,2001
,2nd,  ,Magtanggol T. Gunigundo ,Lakas-CMD ,1,2001
Zambales ,1st,  ,James J. Gordon Jr. ,Lakas-CMD ,3,1995
,2nd,  ,Ruben D. Torres ,Lakas-CMD ,1,2001
Zamboanga City ,Lone ,  ,Celso L. Lobregat ,LDP ,2,1998
Zamboanga del Norte ,1st,  ,Romeo G. Jalosjos7,PDSP ,3,1995
,,  ,Cecilia G. Jalosjos-Carreon8,Reporma-LM ,1,2002
,2nd,  ,Roseller L. Barinaga ,NPC ,2,1998
,3rd,  ,Angel M. Carloto ,NPC ,1,2001
Zamboanga del Sur ,1st,  ,Isidoro E. Real Jr. ,Lakas-CMD ,1,2001
,2nd,  ,Nenet S. San Juan ,Lakas-CMD ,1,2001
Zamboanga Sibugay ,Lone ,  ,Belma A. Cabilao ,Lakas-CMD ,1,2001
